Reported Date,Suburb - Incident,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence count
2025-07-01,VIRGINIA,5120,OFFENCES AGAINST PROPERTY,THEFT,Receive or handle proceeds of crime,2
2025-07-01,VIRGINIA,5120,OFFENCES AGAINST THE PERSON,"ROBBERY, BLACKMAIL, AND EXTORTION",Robbery,3
2025-07-01,WELLAND,5007,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,WELLINGTON,5259,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,WEST LAKES,5021,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
2025-07-01,WHYALLA NORRIE,5608,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,2
2025-07-01,WHYALLA NORRIE,5608,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,WHYALLA NORRIE,5608,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,3
2025-07-01,WOODCROFT,5162,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,WOODCROFT,5162,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,WOODCROFT,5162,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,,,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Obtain benefit by deception,1
2025-07-02,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Obtain benefit by deception,1
2025-07-02,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-02,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,THEFT,Other theft,1
2025-07-02,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,THEFT,Receive or handle proceeds of crime,2
2025-07-02,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,2
2025-07-02,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,3
